49284685	m		CR	U. S. Commission on Civil Rights [electronic resource]		http://www.usccr.gov/
608378863	m		CR 1.1:959/abr	One nation under God, indivisible, with liberty and justice for all [electronic resource] : an abridgment of the Report of the United States Commission on Civil Rights, 1959	1959	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/497374.html
645126995	m		CR 1.1:961/Excerpts	Civil rights  [electronic resource] excerpts from the 1961 United States Commission on Civil Rights report	1961]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/3660115.html
3660115x	m		CR 1.1:961/excerpts	Civil rights : excerpts from the 1961 United States Commission on Civil Rights report	1961]	
646834982	m		CR 1.1:961/v.1-5	1961 United States Commission on Civil Rights report [electronic resource]	1961	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/13756518.html
5437561x	m		CR 1.10:1	Civil rights under Federal programs : the Civil Rights act of 1964  an analysis of Title VI	1965	
455332	m		CR 1.10:1/968	Civil rights under Federal programs  an analysis of Title VI of the Civil rights act of 1964	1968]	
453031	m		CR 1.10:10	Employment testing: guide signs, not stop signs	1968]	
453372	m		CR 1.10:11	Mobility in the Negro community  guidelines for research on social and economic progress, by Eli Ginzberg and Dale L. Hiestand	1968	http://www.law.umaryland.edu/marshall/usccr/documents/cr11011.pdf
11319	m		CR 1.10:12	Process of change  the story of school desegregation in Syracuse, New York	1968	
104555	m		CR 1.10:13	If you have a civil rights complaint, who will listen?	1969?]	
455326	m		CR 1.10:14	Cycle to nowhere	1968]	http://www.law.umaryland.edu/marshall/usccr/documents/cr11014.pdf
681075079	m		CR 1.10:15/4	Civil rights directory, 1981 [electronic resource] / U.S. Commission on Civil Rights	1981	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/21715765.html;"HeinOnline (On-campus only)  http://www.heinonline.org/HOL/Index?index=beal/civrire&collection=usfed"
20376	m		CR 1.10:16	Jobs & civil rights  the role of the Federal Government in promoting equal opportunity in employment and training, by Richard P. Nathan. Prepared for U.S. Commission on Civil Rights by the Brookings Institution, Washington, D.C	1969	http://www.law.umaryland.edu/marshall/usccr/documents/cr11016.pdf
81554784	m		CR 1.10:16/supp	<Jobs & civil rights : study on equal employment opportunity programs and activities of the Federal government, supplementary materials>	1969>	
328915	m		CR 1.10:17	Equal employment opportunity under Federal law: a guide to Federal law prohibiting discrimination on account of race, religion, or national origin in private and public employment	1969	
447239	m		CR 1.10:17/2	Equal employment opportunity under Federal law: a guide to Federal law prohibiting discrimination on account of race, religion, sex, or national origin in private and public employment	1971	
72811	m		CR 1.10:18	A summary of a report of the United States Commission on Civil Rights: for all the people, by all the people  report on equal opportunity in State and local government employment	1969	
105433	m		CR 1.10:19	Stranger in one's land	1970	http://www.law.umaryland.edu/marshall/usccr/documents/cr11019.pdf
780713x	m		CR 1.10:2	Equal opportunity in hospitals and health facilities : civil rights policies under the Hill-Burton program	1965	
1009221	m		CR 1.10:22	HEW and title VI  a report on the development of the organization, policies, and compliance procedures of the Department of Health, Education, and Welfare under title VI of the Civil rights act of 1964	1970	
143839	m		CR 1.10:24	 What students perceive   a report	[1970]	http://www.law.umaryland.edu/marshall/usccr/documents/cr11024a.pdf
163095	m		CR 1.10:25	Who will wear the badge? A study of minority recruitment efforts in protective services, a report of the United States Commission on Civil Rights, by Richard J. Margolis	1971]	
3205983	m		CR 1.10:26	Mexican Americans and the administration of justice in the Southwest  summary of a report	1970	
144780	m		CR 1.10:27	Equal educational opportunities for the Spanish-speaking child  bilingual and bicultural educational programs	1970]	
29757358	m		CR 1.10:27-2	Understanding school desegregation	1971	
