	74629
UNITED STATES GPO	68827
UNITED STATES GOVERNMENT PRINTING OFFICE	42043
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION	12411
GOVERNMENT PRINT OFF	11529
UNITED STATES DEPARTMENT OF INTERIOR BUREAU OF MINES	8156
OFFICE	6324
UNITED STATES DEPARTMENT OF AGRICULTURE	5288
UNITED STATES DEPARTMENT OF COMMERCE BUREAU OF CENSUS	3335
HEADQUARTERS DEPARTMENT OF ARMY	2925
UNITED STATES DEPARTMENT OF INTERIOR UNITED STATES GEOLOGICAL SURVEY	2786
SN	2674
GOVERNMENT PRINTING OFFICE	2503
BUREAU	2318
OAK RIDGE NATIONAL LABORATORY	2127
UNITED STATES GENERAL ACCOUNTING OFFICE	2008
COMMISSION	1933
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION SCIENTIFIC AND TECHNICAL INFORMATION BRANCH	1854
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL BUREAU OF STANDARDS	1846
OFFICE DISTRIBUTOR	1669
UNITED STATES DEPARTMENT OF COMMERCE ECONOMICS AND STATISTICS ADMINISTRATION BUREAU OF CENSUS	1669
UNITED STATES ATOMIC ENERGY COMMISSION TECHNICAL INFORMATION SERVICE	1492
SERVICE	1470
NATIONAL TECHNICAL INFORMATION SERVICE DISTRIBUTOR	1430
UNITED STATES INTERNATIONAL TRADE COMMISSION	1325
SUPT OF DOCS UNITED STATES GPO DISTRIBUTOR	1223
UNITED STATES DEPARTMENT OF STATE BUREAU OF PUBLIC AFFAIRS OFFICE OF PUBLIC COMMUNICATION EDITORIAL DIVISION	1218
AVAILABLE FROM NATIONAL TECHNICAL INFORMATION SERVICE	1168
NATIONAL ADVISORY COMMITTEE FOR AERONAUTICS	1118
UNITED STATES DEPARTMENT OF LABOR BUREAU OF LABOR STATISTICS	1111
CENTRAL INTELLIGENCE AGENCY	1100
SMITHSONIAN INSTITUTION	1091
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION SCIENTIFIC AND TECHNICAL INFORMATION OFFICE	1013
LAWRENCE RADIATION LABORATORY	1010
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE	1006
ARGONNE NATIONAL LABORATORY	976
SMITHSONIAN INSTITUTION PRESS	934
LOS ALAMOS SCIENTIFIC LABORATORY OF UNIVERSITY OF CALIFORNIA	904
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE PACIFIC NORTHWEST RESEARCH STATION	862
NATIONAL TECHNICAL INFORMATION SERVICE	854
UNITED STATES DEPARTMENT OF INTERIOR FISH AND WILDLIFE SERVICE	846
WATERWAYS EXPERIMENT STATION	843
UNITED STATES DEPARTMENT OF INTERIOR GEOLOGICAL SURVEY	830
DEPARTMENT	824
UNITED STATES FISH AND WILDLIFE SERVICE	811
UNITED STATES GEOLOGICAL SURVEY	808
UNITED STATES ATOMIC ENERGY COMMISSION TECHNICAL INFORMATION DIVISION	787
ADMINISTRATION	764
UNITED STATES DEPARTMENT OF AGRICULTURE ECONOMIC RESEARCH SERVICE	762
BRANCH OF INFORMATION SERVICES DISTRIBUTOR	750
UNITED STATES BUREAU OF MINES	734
UNITED STATES ARMY ENGINEER WATERWAYS EXPERIMENT STATION	730
UNITED STATES DEPARTMENT OF COMMERCE BUREAU OF STANDARDS	722
AVAILABLE THROUGH NATIONAL TECHNICAL INFORMATION SERVICE	699
UNITED STATES ATOMIC ENERGY COMMISSION	665
UNIVERSITY OF CALIFORNIA RADIATION LABORATORY	654
UNITED STATES DEPARTMENT OF INTERIOR NATIONAL PARK SERVICE	637
DIVISION	607
NATIONAL AGRICULTURAL LIBRARY	605
CENTER	598
UNITED STATES DEPARTMENT OF COMMERCE BUREAU OF MINES	594
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE FOREST PRODUCTS LABORATORY	587
UNITED STATES DEPARTMENT OF COMMERCE INTERNATIONAL TRADE ADMINISTRATION	558
CONGRESS OF UNITED STATES OFFICE OF TECHNOLOGY ASSESSMENT	556
UNITED STATES DEPARTMENT OF INTERIOR	555
ATOMIC ENERGY COMMISSION	552
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF EDUCATION	524
BROOKHAVEN NATIONAL LABORATORY	515
DEPARTMENT OF INTERIOR UNITED STATES GEOLOGICAL SURVEY	501
ATOMICS INTERNATIONAL	492
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION OFFICE OF MANAGEMENT SCIENTIFIC AND TECHNICAL INFORMATION DIVISION	469
UNITED STATES DEPARTMENT OF JUSTICE OFFICE OF JUSTICE PROGRAMS NATIONAL INSTITUTE OF JUSTICE	466
ROCKY MOUNTAIN FOREST AND RANGE EXPERIMENT STATION FOREST SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	463
PUBLISHER NOT IDENTIFIED	458
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE NORTHEASTERN FOREST EXPERIMENT STATION	451
UNITED STATES DEPARTMENT OF AGRICULTURE NATIONAL AGRICULTURAL LIBRARY	444
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	441
HANFORD ATOMIC PRODUCTS OPERATION	437
UNITED STATES LIBRARY OF CONGRESS	434
AGRICULTURAL RESEARCH SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	429
AVAILABLE FROM GPO SALES PROGRAM DIVISION OF TECHNICAL INFORMATION AND DOCUMENT CONTROL UNITED STATES NUCLEAR REGULATORY COMMISSION	426
DEPARTMENT OF ARMY	424
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH	422
DEPARTMENT OF STATE	421
UNITED STATES ATOMIC ENERGY COMMISSION IDAHO OPERATIONS OFFICE	413
UNITED STATES DEPARTMENT OF AGRICULTURE SOIL CONSERVATION SERVICE	413
