U.S. G.P.O. :	40024
U.S. G.P.O.,	26707
U.S. Govt. Print. Off.,	22954
For sale by the Supt. of Docs., U.S. G.P.O.,	17068
For sale by the U.S. G.P.O., Supt. of Docs., Congressional Sales Office,	12641
For sale by the Supt. of Docs., Congressional Sales Office, U.S. G.P.O.,	8115
U.S. Dept. of the Interior, Bureau of Mines,	6890
National Aeronautics and Space Administration ;	5073
U.S. Dept. of Agriculture,	5027
Govt. print. off.,	4728
Govt. Print. Off.,	4522
[For sale by the Supt. of Docs., U.S. G.P.O., Congressional Sales Office],	4155
The Office,	3808
For sale by the National Technical Information Service],	3346
National Aeronautics and Space Administration :	3164
G.P.O.,	3118
National Aeronautics and Space Administration,	3015
Headquarters, Dept. of the Army,	2836
For sale by the National Technical Information Service,	2757
For sale by the Supt. of Docs., U.S. G.P.O., [Congressional Sales Office],	2564
U.S. Dept. of Commerce, Bureau of the Census :	2389
U. S. Govt. Print. Off.,	2296
U.S. Dept. of the Interior, U.S. Geological Survey ;	2234
Government Printing Office,	2230
For sale by Supt. of Docs., U.S. G.P.O.,	2212
For sale by the Supt. of Docs., U.S. Govt. Print. Off.,	2209
U.S. Govt. Print. Off,	2171
The Office ;	2009
Oak Ridge National Laboratory,	1997
U.S. Govt. Print. Off. :	1900
s.n.,	1896
U. S. Govt. print. off.,	1840
National Aeronautics and Space Administration, Scientific and Technical Information Branch ;	1644
The Office [distributor,	1634
U.S. Govt. print. off.,	1621
The Bureau,	1458
U.S. General Accounting Office,	1443
For sale by the Supt. of Docs., U.S. G.P.O. [Congressional Sales Office],	1439
U.S. Dept. of Commerce, Economics and Statistics Administration, Bureau of the Census :	1388
For sale by the Clearinghouse for Federal Scientific and Technical Information,	1385
for sale by the National Technical Information Service,	1381
The Commission,	1256
for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1222
For sale by the U.S. G.P.O., Supt. of Docs.,	1220
The Service,	1201
U.S. International Trade Commission,	1182
Central Intelligence Agency,	1059
National Advisory Committee for Aeronautics,	1047
[For sale by the Office of Technical Services, Dept. of Commerce],	1023
Argonne National Laboratory,	954
U.S. Dept. of State, Bureau of Public Affairs, Office of Public Communication, Editorial Division,	939
National Aeronautics and Space Administration, Scientific and Technical Information Office ;	933
United States Government Printing Office,	913
Los Alamos Scientific Laboratory of the University of California,	869
[U.S. G.P.O.],	839
U.S. Dept. of Commerce, National Bureau of Standards :	834
U.S. Dept. of Agriculture, Forest Service,	818
[For sale by the Clearinghouse for Federal Scientific and Technical Information, Springfield, Virginia 22151],	816
National Technical Information Service,	803
U.S. Dept. of Agriculture, Forest Service, Pacific Northwest Research Station,	803
Smithsonian Institution Press,	765
National Technical Information Service [distributor,	747
Branch of Information Services [distributor],	718
U.S. Dept. of Commerce, Bureau of Standards :	701
U.S. Atomic Energy Commission, Technical Information Division,	685
Waterways Experiment Station,	684
Smithsonian Institution,	682
U.S. Dept. of Commerce, Bureau of the Census,	679
U.S. Government Printing Office,	667
For sale by the Supt. of Docs., U.S. G.P.O., Congressional Sales Office,	659
United States Atomic Energy Commission, Technical Information Service,	653
University of California Radiation Laboratory,	648
U.S. Atomic Energy Commission, Technical Information Service,	644
Lawrence Radiation Laboratory,	611
U.S. Dept. of Labor, Bureau of Labor Statistics,	601
National Agricultural Library,	601
The Bureau :	593
U.S. Dept. of Agriculture, Economic Research Service,	577
Atomic Energy Commission,	545
U.S. Atomic Energy Commission,	541
Available from National Technical Information Service,	540
U.S. Dept. of Interior, Bureau of Mines,	531
U.S. Dept. of Commerce, Bureau of Mines,	522
U.S. Dept. of the Interior, National Park Service,	520
U.S. Dept. of Agriculture, Forest Service, Forest Products Laboratory,	516
Available through the National Technical Information Service,	515
U.S. Dept. of Commerce, National Bureau of Standards,	508
Atomics International,	481
The Administration,	472
U.S. Fish and Wildlife Service,	469
Brookhaven National Laboratory,	462
[publisher not identified],	457
Rocky Mountain Forest and Range Experiment Station, Forest Service, U.S. Dept. of Agriculture,	456
U.S. Dept. of the Interior, Fish and Wildlife Service,	450
The Center,	443
U.S. Govt. Print. Off.	438
U.S. Bureau of Mines,	434
U.S. Dept. of Agriculture, Forest Service, Northeastern Forest Experiment Station,	428
Hanford Atomic Products Operation,	426
U.S. Dept. of Justice, Office of Justice Programs, National Institute of Justice,	423
U.S. Dept. of Agriculture, National Agricultural Library,	417
National Aeronautics and Space Administration, Office of Management, Scientific and Technical Information Division ;	410
Dept. of the Interior, U.S. Geological Survey ;	409
Available from GPO Sales Program, Division of Technical Information and Document Control, U.S. Nuclear Regulatory Commission ;	406
Gov't print. off.,	398
The Commission :	397
U.S. Army Engineer Waterways Experiment Station ;	394
U.S. Atomic Energy Commission, Idaho Operations Office,	390
U.S. Dept. of the Interior, Geological Survey,	382
[Supt. of Docs., U.S. G.P.O., distributor],	377
Library of Congress,	372
U.S. Geological Survey,	368
The Division,	361
[U.S. G.P.O., Supt. of Docs., Congressional Sales Office, distributor],	360
The Dept.,	360
U.S. Geological Survey ;	353
U.S. Govt. Print. Off.]	352
Agricultural Research Service, U.S. Dept. of Agriculture,	350
[Lawrence] Radiation Laboratory,	349
United States General Accounting Office,	349
General Accounting Office,	342
U.S. G.P.O. ;	340
U.S. Dept. of Health and Human Services, Public Health Service, National Institutes of Health,	338
U.S. Dept. of Agriculture, Forest Service, Intermountain Research Station,	336
