Y 4	79815	Congress
Y 3	21210	Congress
A 13	12584	Agriculture
NAS 1	9949	National Aeronautics and Space Administration
I 28	9380	Interior Department
Y 1	9170	Congress
C 3	7184	Commerce Department
HE 20	6398	Health and Human Services Department
GA 1	5945	Government Accountability Office
I 19	5550	Interior Department
D 101	4996	Defense Department
A 1	4387	Agriculture
S 1	4366	State Department
C 13	3934	Commerce Department
EP 1	2980	Environmental protection Agency
ED 1	2870	Education Department
I 49	2762	Interior Department
L 2	2382	Labor Department
I 29	2033	Interior Department
C 55	1863	Commerce Department
I 1	1565	Interior Department
D 103	1545	Defense Department
PREX 3	1199	Executive Office of the President
HH 1	1191	Housing and Urban Development Department
A 17	1166	Agriculture
TD 2	1021	Transportation Department
J 1	944	Justice Department
FS 5	914	
J 28	913	Justice Department
D 301	881	Defense Department
C 22	851	Commerce Department
E 1	806	Energy Department
C 18	771	Commerce Department
ITC 1	747	International Trade Commission
C 61	731	Commerce Department
L 1	724	Labor Department
I 53	702	Interior Department
A 57	632	Agriculture
TC 1	611	
TD 4	600	Transportation Department
D 1	593	Defense Department
SBA 1	573	Small Business Administration
Y 10	553	Congress
TD 1	547	Transportation Department
SI 1	539	Smithsonian Institution
T 22	536	Treasury Department
VA 1	531	Veterans Affairs Department
A 93	527	Agriculture
D 5	526	Defense Department
I 27	503	Interior Department
TD 7	489	Transportation Department
C 1	475	Commerce Department
HE 19	460	Health and Human Services Department
J 26	457	Justice Department
TD 8	447	Transportation Department
CR 1	421	Civil Rights Commission
D 207	404	Defense Department
FEM 1	401	
J 29	398	Justice Department
TD 5	395	Transportation Department
D 114	384	Defense Department
L 13	377	Labor Department
L 37	377	Labor Department
PM 1	376	Personnel Management Office
HE 23	358	Health and Human Services Department
HE 1	354	Health and Human Services Department
LC 1	341	Library of Congress
L 35	333	Labor Department
NS 1	312	National Science Foundation
D 214	298	Defense Department
J 32	296	Justice Department
L 38	293	Labor Department
SI 3	293	Smithsonian Institution
FS 2	273	
PREX 1	270	Executive Office of the President
L 36	262	Labor Department
AE 1	252	National Archives and Records Administration
D 201	242	Defense Department
CS 1	236	
HE 22	235	Health and Human Services Department
A 77	232	Agriculture
C 56	230	Commerce Department
P 1	225	United States Postal Service
HE 3	223	Health and Human Services Department
FT 1	221	Federal Trade Commission
T 17	204	Treasury Department
ER 1	202	
JU 13	202	Judiciary
C 57	201	Commerce Department
A 88	197	Agriculture
PREX 2	196	Executive Office of the President
GS 4	187	General Services Administration
L 29	181	Labor Department
PR 40	179	President of the United States
PR 32	178	President of the United States
E 3	178	Energy Department
EP 5	171	Environmental protection Agency
L 16	168	Labor Department
EP 2	168	Environmental protection Agency
T 1	167	Treasury Department
S 18	164	State Department
I 20	163	Interior Department
A 98	160	Agriculture
C 51	160	Commerce Department
A 105	159	Agriculture
FR 1	156	Federal Reserve System Board of Governors
C 46	155	Commerce Department
PE 1	154	Peace Corps
FS 14	152	
LC 19	147	Library of Congress
A 67	141	Agriculture
NF 3	139	National Foundation on the Arts and the Humanities
IC 1	138	Interstate Commerce Commission
TD 3	137	Transportation Department
FS 3	136	
SSA 1	135	Social Security Administration
A 101	127	Agriculture
NF 2	125	National Foundation on the Arts and the Humanities
A 92	125	Agriculture
GS 1	123	General Services Administration
D 208	122	Defense Department
FS 13	120	
D 7	116	Defense Department
C 59	116	Commerce Department
PR 42	115	President of the United States
C 60	114	Commerce Department
LC 30	113	Library of Congress
AA 1	110	
EP 6	109	Environmental protection Agency
J 24	109	Justice Department
C 21	108	Commerce Department
C 47	107	Commerce Department
C 41	105	Commerce Department
I 72	101	Interior Department
T 70	100	Treasury Department
HE 5	100	Health and Human Services Department
D 305	97	Defense Department
HE 17	97	Health and Human Services Department
GP 3	95	Government Printing Office
JU 10	93	Judiciary
PR 36	92	President of the United States
D 209	91	Defense Department
A 82	85	Agriculture
E 2	85	Energy Department
W 1	84	
FS 17	83	
PR 39	82	President of the United States
D 210	81	Defense Department
J 21	79	Justice Department
I 16	78	Interior Department
C 39	78	Commerce Department
PREX 14	77	Executive Office of the President
SI 8	76	Smithsonian Institution
PRVP 42	73	Vice President of the United States
PREX 26	73	Executive Office of the President
T 63	73	Treasury Department
EP 7	72	Environmental protection Agency
LC 3	70	Library of Congress
D 105	69	Defense Department
SE 1	69	Securities and Exchange Commission
D 2	68	Defense Department
C 42	67	Commerce Department
CSA 1	67	
CC 1	67	Federal Communications Commission
C 4	67	Commerce Department
PR 37	66	President of the United States
A 110	66	Agriculture
NMB 1	65	National Mediation Board
D 104	64	Defense Department
I 33	64	Interior Department
I 70	63	Interior Department
D 12	63	Defense Department
A 106	62	Agriculture
FE 1	60	
C 6	56	Commerce Department
LR 1	55	National Labor Relations Board
C 31	54	Commerce Department
A 62	53	Agriculture
SI 6	53	Smithsonian Institution
EP 4	52	Environmental protection Agency
GS 2	51	General Services Administration
D 211	51	Defense Department
GP 1	50	Government Printing Office
I 69	48	Interior Department
D 14	48	Defense Department
AC 1	46	
D 110	46	Defense Department
MS 1	46	Merit Systems Protection Board
HE 24	45	Health and Human Services Department
L 7	44	Labor Department
I 66	44	Interior Department
Y 7	43	Congress
L 5	43	Labor Department
J 16	43	Justice Department
LC 14	41	Library of Congress
PREX 10	40	Executive Office of the President
NCU 1	40	National Credit Union Administration
