Public Domain	1056595
In Copyright	145234
Undetermined	17185
Public Domain only when viewed in US	15339
Public Domain but access limited due to privacy concerns	1041
In copyright and permitted as world viewable by the copyright holder	662
Creative Commons Attribution 4.0 International license	339
Creative Commons Zero license (implies pd)	154
Creative Commons Attribution-NonCommercial-ShareAlike license, 3.0 Unported	123
available to nobody; blocked for all users	82
In copyright in the US	38
Creative Commons Attribution-NonCommercial-NoDerivatives license, 3.0 Unported	33
out-of-print (implies in-copyright)	25
Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license	17
Creative Commons Attribution-ShareAlike 4.0 International license	5
Creative Commons Attribution-NonCommercial 4.0 International license	5
Creative Commons Attribution-NonCommercial license, 3.0 Unported	4
Creative Commons Attribution-NoDerivatives license, 3.0 Unported	1
Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International license	1
