Contributor,Number of Items
"University of Michigan",266477
"University of Minnesota",144889
"University of Illinois at Urbana–Champaign",133298
"University of California, Northern Regional Library Facility",79849
"The Ohio State University",72354
"Pennsylvania State University",68718
"University of California, Riverside",64378
"Northwestern University",58207
"Technical Report Archive & Image Library",53098
"Purdue University",44932
"Cornell University",38133
"University of California, San Diego",38075
"University of Virginia",33823
"University of California, Southern Regional Library Facility",28111
"Harvard University",23440
"University of California, Berkeley",20689
"Michigan State University",13855
"New York Public Library",13439
"Columbia University",12957
"University of California, Santa Cruz",10816
"University of California, Los Angeles",9840
"Indiana University",9326
"State University System of Florida",9252
"University of Wisconsin, Madison",7885
"University of Texas at Austin",5687
"Princeton University",4618
"University of Chicago",4029
"University of Illinois at Urbana-Champaign",3385
"Texas A&M University",3364
"Library of Congress",2782
"University of California, Davis",2755
"University of Iowa",1547
"University of Massachusetts Amherst",736
"University of California, Irvine",328
"University of Alberta",292
"University of Missouri, Columbia",280
"University of North Carolina at Chapel Hill",210
"The Getty Research Institute",159
"Yale University",120
"University of Connecticut",61
"Duke University",60
"Boston College",43
"North Carolina State University",37
"University of Washington",35
"Tufts University",21
"Emory University",16
"University of California, San Francisco",6
"",2
"University of Maryland, College Park",1
"Universidad Complutense de Madrid",1
"University of Delaware",1
"McGill University",1
