University of Michigan	274263
University of Illinois at Urbana–Champaign	150504
University of Minnesota	147805
The Ohio State University	91467
University of California, Northern Regional Library Facility	85751
University of California, Riverside	78293
Pennsylvania State University	69013
Northwestern University	58608
Technical Report Archive & Image Library	56063
Purdue University	47360
University of California, San Diego	40165
Cornell University	38408
University of Virginia	34047
University of California, Berkeley	32064
University of California, Southern Regional Library Facility	28330
Harvard University	25026
Michigan State University	14541
New York Public Library	13515
Columbia University	13225
University of California, Los Angeles	11472
University of California, Santa Cruz	10757
State University System of Florida	10067
Indiana University	9219
University of Wisconsin, Madison	7976
University of Chicago	7445
University of Texas at Austin	5358
Princeton University	4691
Library of Congress	4483
Texas A&M University	4300
University of Illinois at Urbana-Champaign	4120
University of California, Davis	2766
University of Iowa	1631
University of Massachusetts Amherst	743
	551
University of Alberta	453
University of California, Irvine	364
University of Missouri, Columbia	342
The Getty Research Institute	244
University of North Carolina at Chapel Hill	222
Yale University	186
Duke University	75
University of Connecticut	63
Boston College	60
University of Washington	55
North Carolina State University	39
Emory University	38
Tufts University	21
University of California, San Francisco	6
University of Delaware	2
University of Maryland, College Park	1
Universidad Complutense de Madrid	1
McGill University	1
