University of Michigan	266202
University of Illinois at Urbana–Champaign	148672
University of Minnesota	136976
The Ohio State University	90421
University of California, Northern Regional Library Facility	87415
University of California, Riverside	80786
Pennsylvania State University	67913
Technical Report Archive & Image Library	66152
Northwestern University	58777
Purdue University	47783
University of California, San Diego	40463
Cornell University	39939
Harvard University	36216
University of Virginia	33730
University of California, Berkeley	33038
University of California, Southern Regional Library Facility	23180
New York Public Library	15513
Columbia University	13409
Michigan State University	13322
State University System of Florida	11857
University of California, Los Angeles	10997
University of California, Santa Cruz	10763
Indiana University	9385
University of Wisconsin, Madison	8212
University of Chicago	8174
University of Texas at Austin	5413
	5223
Texas A&M University	4809
Princeton University	4731
Library of Congress	4486
University of Illinois at Urbana-Champaign	4163
University of California, Davis	2774
University of Iowa	1835
University of Massachusetts Amherst	760
University of Alberta	453
University of California, Irvine	357
University of Missouri, Columbia	348
The Getty Research Institute	278
University of North Carolina at Chapel Hill	226
Yale University	188
University of Washington	93
Emory University	84
Duke University	82
University of Connecticut	62
Boston College	60
McGill University	41
North Carolina State University	39
Tufts University	21
University of California, San Francisco	6
University of Delaware	2
University of Maryland, College Park	1
Universidad Complutense de Madrid	1
