Month,Monographs,Serials,Undefined
2016-09,365655,22272,88
2016-10,366226,22336,88
2016-11,367558,22398,88
2016-12,370459,22630,88
2017-01,371985,22792,88
2017-02,374619,23386,91
2017-03,381391,23799,91
2017-04,382704,23909,91
2017-05,383206,23989,91
2017-06,385771,24122,91
2017-07,390709,24370,91
2017-08,391358,24388,91
2017-09,392580,24650,91
2017-10,401524,26026,121
2017-11,406360,26291,121
2017-12,409241,26478,121
2018-01,411195,26692,121
2018-02,413509,26886,121
2018-03,414583,26989,121
2018-04,419778,27213,121
2018-05,448775,29219,130
2018-06,459574,29925,131
2018-07,466018,30147,131
2018-08,471118,30391,131
2018-09,481726,30958,131
2018-10,486643,31055,131
2018-11,489717,31610,133
2018-12,492685,31750,135
2019-01,495368,31901,135
2019-02,496500,32023,135
2019-03,499719,32181,132
2019-04,505168,32397,170
2019-05,507003,32444,170
2019-06,507906,32528,170
2019-07,509482,32585,170
2019-08,511108,32722,170
2019-09,512387,33251,170
2019-10,513949,33456,170
2019-11,515007,33575,171
2019-12,515363,33634,171
2020-01,516847,33744,176
2020-02,518447,33852,176
2020-03,519608,33867,176
2020-04,523088,34388,176
2020-05,524912,34420,176
2020-06,524976,34428,176
2020-07,525105,34444,176
2020-08,525584,34609,176
2020-09,525978,34648,176
2020-10,526047,34655,176
2020-11,526078,34659,176
