Month,Full View,Limited View
2016-09,809147,79751
2016-10,812603,80188
2016-11,818002,80613
2016-12,830374,81087
2017-01,837419,81617
2017-02,844901,82755
2017-03,863252,84651
2017-04,874293,84940
2017-05,878049,85209
2017-06,891463,86131
2017-07,907103,87937
2017-08,901681,86626
2017-09,918473,87882
2017-10,931041,101936
2017-11,944277,103148
2017-12,952904,103967
2018-01,958874,104196
2018-02,966623,104663
2018-03,969780,105105
2018-04,982746,106742
2018-05,993663,146783
2018-06,1028736,152570
2018-07,1040429,153704
2018-08,1050017,154255
2018-09,1073705,158330
2018-10,1083613,158690
2018-11,1095400,166383
2018-12,1099299,168594
2019-01,1105871,168630
2019-02,1109502,168440
2019-03,1129475,155337
2019-04,1140865,155392
2019-05,1144878,155702
2019-06,1149688,156383
2019-07,1153618,156691
2019-08,1155950,159295
2019-09,1160234,159623
2019-10,1178420,147866
2019-11,1191301,138945
2019-12,1194041,138960
2020-01,1195703,140020
2020-02,1201787,140331
2020-03,1204064,140438
2020-04,1215425,140803
2020-05,1218261,140533
2020-06,1219199,140047
2020-07,1220070,139709
2020-08,1222402,139549
