Contributor,Count
University of Michigan,33681
University of Virginia,4099
Cornell University,22953
University of Illinois, Urbana Champaign,14240
University of Minnesota,26794
University of Wisconsin,9939
University of California, San Diego,6794
University of California, NRLF,26905
Indiana University,1476
Purdue University,61
University of Illinois, Urbana Champaign,482
University of California, Riverside,2219
Pennsylvania State University,110
Pennsylvania State University,4855
University of California, SRLF,1369
University of Texas, The,1785
University of California, Santa Cruz,756
Harvard University,4576
Michigan State University,779
Ohio State University, The,7781
University of California, Berkeley,1102
University of Chicago,1009
New York Public Library,1697
Princeton University,819
University of Massachusetts, Amherst,593
Getty Research Institute, The,141
University of California, Los Angeles,641
University of Michigan: Dearborn,2
University of California, Davis,442
Columbia University,308
University of Illinois, Urbana Champaign,30
University of California, SRLF,288
University of California, NRLF,1241
Library of Congress,5062
University of Iowa,387
Northwestern University,185
State University System of Florida,211
North Carolina State University,293
University of California, Irvine,47
Boston College,16
University of North Carolina at Chapel Hill,41
University of California, Davis,13
Duke University,17
Columbia University,34
Tufts University,269
University of Washington,9
Yale University,16
TRAIL/GWLA,671
Utah State University Press,2
University of Connecticut,111
State University System of Florida,1
McGill University,4
Texas AM,M,149
University of California, Los Angeles,17
University of Delaware,4
University of Maryland,1
University of Pennsylvania,1
