Contributor,Count
"University of Michigan",36804
"Getty Research Institute, The",1200
"University of California, NRLF",9966
"Pennsylvania State University",1462
"University of California, Santa Cruz",1904
"Northwestern University",1620
"University of Virginia",7746
"Indiana University",6008
"Ohio State University, The",627
"Princeton University",2764
"University of California, San Diego",425
"University of Wisconsin",4643
"University of California, Los Angeles",722
"University of Illinois, Urbana Champaign",1075
"Harvard University",8361
"New York Public Library",2499
"University of California, SRLF",541
"Michigan State University",290
"University of Minnesota",2148
"University of California, Davis",149
"Cornell University",1836
"University of California, Berkeley",486
"University of Chicago",606
"University of Iowa",1165
"University of California, NRLF",524
"University of California, SRLF",700
"University of Illinois, Urbana Champaign",154
"Library of Congress",1774
"Columbia University",364
"University of Texas, The",154
"Yale University",176
"University of Connecticut",39
"Columbia University",226
"University of Illinois, Urbana Champaign",412
"University of California, Riverside",115
"Duke University",109
"University of California, Irvine",51
"University of North Carolina at Chapel Hill",71
"University of Michigan: Dearborn",14
"Purdue University",5
"University of California, Los Angeles",5
"North Carolina State University",1
"University of Michigan: Law ",1
"Boston College",3
"Universidad Complutense de Madrid",3
"University of Massachusetts, Amherst",1
"University of Delaware",1
"University of Maryland",2
"University of Missouri-Columbia",1
"University of Washington",4
"University of Pennsylvania",1
"University of Queensland, The ",1
"Emory University",1
