Class,Parent,Items
Item Classification,,0
A,Item Classification,0
B,Item Classification,0
C,Item Classification,0
D,Item Classification,0
E,Item Classification,0
F,Item Classification,0
G,Item Classification,0
H,Item Classification,0
J,Item Classification,0
K,Item Classification,0
L,Item Classification,0
M,Item Classification,0
N,Item Classification,0
P,Item Classification,0
Q,Item Classification,0
R,Item Classification,0
S,Item Classification,0
T,Item Classification,0
U,Item Classification,0
V,Item Classification,0
Z,Item Classification,0
BF,B,15439
PS,P,62879
F ,F,97919
E ,E,64681
QC,Q,52455
PN,P,44085
BH,B,889
UC,U,1004
DT,D,14369
PZ,P,24995
QE,Q,40824
GC,G,4117
PR,P,44253
HC,H,74261
TA,T,20906
HB,H,22393
HQ,H,19679
DU,D,3258
TR,T,4908
ND,N,7593
HN,H,11244
Z ,Z,98327
RK,R,2289
QD,Q,43978
DR,D,9147
HD,H,106808
JN,J,11524
R ,R,14158
KF,K,78348
HE,H,20174
TD,T,10025
NC,N,2859
JK,J,15608
BP,B,9183
PM,P,1654
JV,J,3150
LB,L,29527
PE,P,6195
DS,D,103725
CB,C,3655
HV,H,30184
DK,D,24383
LD,L,4434
BL,B,18023
DD,D,10495
RC,R,28438
QA,Q,48079
QR,Q,5352
NA,N,14188
QH,Q,28006
H ,H,13082
RG,R,2624
HF,H,34987
LA,L,10008
QL,Q,24941
GN,G,13827
HA,H,40199
B ,B,21687
JC,J,6194
HX,H,7656
TJ,T,11565
ML,M,22050
JS,J,5322
PT,P,22843
QK,Q,13430
UH,U,477
BS,B,6664
TX,T,7983
T ,T,20203
PL,P,52817
BT,B,3451
GV,G,11595
JQ,J,11913
N ,N,23082
RD,R,5591
NX,N,4382
HT,H,8037
PF,P,3052
LG,L,735
VK,V,2213
D ,D,37071
LC,L,12337
DA,D,17078
AS,A,30601
HM,H,8332
BV,B,6081
P ,P,16177
U ,U,4041
BQ,B,8503
CT,C,4872
Q ,Q,51446
QP,Q,16136
TS,T,10028
PG,P,24030
JA,J,6327
PQ,P,52682
UG,U,2241
TC,T,7464
RA,R,20727
S ,S,38686
GB,G,8378
HG,H,32779
KFW,K,1274
RJ,R,4348
PC,P,7659
PH,P,2789
G ,G,17351
TK,T,21685
CR,C,742
MT,M,1985
DB,D,8344
RM,R,3805
PK,P,30207
SB,S,14067
CS,C,7395
VA,V,579
PB,P,2417
JX,J,17560
K ,K,16976
BX,B,23602
PA,P,15122
JF,J,2158
RL,R,769
UF,U,630
CC,C,2624
DG,D,11267
CD,C,5780
J ,J,34938
SK,S,3650
TP,T,12443
DC,D,12460
QB,Q,12197
DP,D,7540
UB,U,1861
RB,R,2417
TL,T,17603
BR,B,11373
GT,G,3627
V ,V,2730
TF,T,2019
BD,B,2475
TN,T,23455
GR,G,8814
UA,U,5136
RT,R,2302
NE,N,1770
RE,R,1387
NK,N,6412
AG,A,1689
BM,B,5199
SH,S,11048
SD,S,8736
RS,R,2292
GF,G,1232
BC,B,1111
HS,H,1074
TH,T,4728
AI,A,4056
L ,L,16599
AP,A,66066
KFC,K,2780
AC,A,6053
HJ,H,24076
AY,A,1782
LH,L,1903
TG,T,474
PJ,P,13209
AM,A,1838
KZ,K,8691
KJE,K,2671
JL,J,4508
JZ,J,2679
KFN,K,3103
SF,S,7195
LF,L,1393
TE,T,3606
LJ,L,886
RZ,R,420
DE,D,1311
QM,Q,1227
KFH,K,107
VM,V,1613
CJ,C,2028
RF,R,1017
KLA,K,265
