Contributor,Count
"University of Michigan",1169
"University of Minnesota",193
"University of Illinois, Urbana Champaign",71
"University of California, San Diego",352
"Indiana University",252
"University of Texas, The",327
"University of California, NRLF",35
"University of California, Santa Cruz",45
"University of Virginia",46
"University of Michigan: Dearborn",1
"Cornell University",118
"Ohio State University, The",15
"University of California, Berkeley",62
"Pennsylvania State University",65
"Purdue University",1
"University of California, Los Angeles",80
"University of Wisconsin",22
"Utah State University Press",1
"New York Public Library",12
"Northwestern University",5
"University of California, Riverside",6
"TRAIL/GWLA",1
"University of California, SRLF",1
"Duke University",2
