Month,GE
2008-10,140
2008-11,329
2008-12,377
2009-01,565
2009-02,569
2009-03,597
2009-04,639
2009-05,641
2009-06,742
2009-07,846
2009-08,857
2009-09,867
2009-10,890
2009-11,965
2009-12,1256
2010-01,1318
2010-02,1366
2010-03,1373
2010-04,1387
2010-05,1393
2010-06,1393
2010-07,1394
2010-08,1465
2010-09,1477
2010-10,1507
2010-11,1546
2010-12,1627
2011-01,1631
2011-02,1640
2011-03,1640
2011-04,1658
2011-05,1664
2011-06,1677
2011-07,1684
2011-08,1721
2011-09,1722
2011-10,1722
2011-11,1724
2011-12,1726
2011-01,1726
2012-02,1728
2012-03,1729
2012-04,1747
2012-05,1747
2012-06,1747
2012-07,1747
2012-08,1748
2012-09,1748
2012-10,1749
2012-11,1750
2012-12,1750
2013-01,1750
2013-02,1754
2013-03,1754
2013-04,1756
2013-05,1756
2013-06,1756
2013-07,1756
2013-08,1756
2013-09,1756
2013-10,1758
2013-11,1758
2013-12,1758
2014-01,1758
2014-02,1758
2014-03,1761
2014-04,1761
2014-05,1761
2014-06,1761
2014-07,1770
2014-08,1770
2014-09,1864
2014-10,1969
2014-11,2041
2014-12,2043
2015-01,2057
2015-02,2163
2015-03,2164
2015-04,2168
2015-05,2169
2015-06,2171
2015-07,2171
2015-08,2171
2015-09,2171
2015-10,2182
2015-11,2183
2015-12,2185
2015-01,2185
2015-02,2185
2016-03,2193
2016-04,2516
2016-05,2520
2016-06,2525
2016-07,2528
2016-08,2528
2016-09,2533
2016-10,2577
2016-11,2577
2016-12,2579
2017-01,2582
2017-02,2596
2017-03,2596
2017-04,2603
2017-05,2625
2017-06,2679
2017-07,2679
2017-08,2691
2017-09,2710
2017-10,2716
2017-11,2722
2017-12,2724
2018-01,2750
2018-02,2754
2018-03,2774
2018-04,2775
2018-05,2779
2018-06,2820
2018-07,2829
2018-08,2879
2018-09,2882
