Contributor,Count
"University of Michigan",55032
"University of California, NRLF",10042
"Indiana University",3441
"Pennsylvania State University",3956
"University of Virginia",3889
"Ohio State University",600
"Harvard University",3062
"Cornell University",580
"New York Public Library",1099
"University of California, Santa Cruz",2402
"University of California, SRLF",599
"University of Minnesota",3287
"University of Illinois, Urbana Champaign",984
"University of Iowa",671
"University of Michigan: Dearborn",7
"University of California, San Diego",10963
"University of Texas",2273
"University of Wisconsin",318
"University of Chicago",201
"University of California, Riverside",306
"University of California, Los Angeles",819
"University of California, Berkeley",384
"University of North Carolina at Chapel Hill",867
"Michigan State University",166
"Northwestern University",4347
"University of Connecticut",99
"Princeton University",434
"Purdue University",28
"University of California, Davis",75
"University of Massachusetts, Amherst",68
"University of Washington",31
"Columbia University",127
"University of California, Irvine",49
"Duke University",70
"Getty Research Institute, The",44
"Columbia University",12
"Boston College",24
"Utah State University Press",1
"McGill University",5
"Library of Congress",6
"Yale University",11
"Knowledge Unlatched",3
"Emory University",4
"University of Maryland",2
