Month,M,Ml,MT
2008-10,1067,7638,979
2008-11,1127,7967,1005
2008-12,1145,8017,1007
2009-01,1197,8322,1014
2009-02,1242,8901,1063
2009-03,1253,9045,1070
2009-04,1267,9380,1117
2009-05,1290,10104,1188
2009-06,1404,11348,1292
2009-07,1520,12585,1414
2009-08,1581,13625,1541
2009-09,1699,14245,1581
2009-10,2668,17062,1773
2009-11,2736,17668,1787
2009-12,2993,18319,1862
2010-01,3084,18425,1866
2010-02,3121,18673,1890
2010-03,3236,18731,1898
2010-04,3254,18801,1907
2010-05,19232,29189,2229
2010-06,20703,35665,3863
2010-07,21918,36513,3901
2010-08,22014,37070,3932
2010-09,22034,38310,4054
2010-10,24648,39903,4258
2010-11,29086,40525,4700
2010-12,29510,41423,4738
2011-01,29515,41446,4740
2011-02,29633,41844,4797
2011-03,29721,41936,4831
2011-04,29882,42104,4881
2011-05,30168,42396,4924
2011-06,30171,42483,4929
2011-07,30268,43672,5039
2011-08,30337,43711,5094
2011-09,30386,43728,5095
2011-10,30412,43733,5095
2011-11,30428,43797,5100
2011-12,30779,43937,5112
2012-01,30784,43940,5112
2012-02,30816,44093,5144
2012-03,30817,44102,5144
2012-04,30832,44121,5145
2012-05,30883,44377,5174
2012-06,30958,44486,5191
2012-07,30958,44499,5191
2012-08,31059,44588,5213
2012-09,31080,44711,5241
2012-10,31090,44798,5259
2012-11,31097,44820,5259
2012-12,31145,44887,5264
2013-01,31288,44920,5294
2013-02,31288,44923,5294
2013-03,31294,44929,5297
2013-04,31297,44972,5300
2013-05,31300,44994,5302
2013-06,31310,45012,5314
2013-07,31333,45017,5316
2013-08,31383,45042,5316
2013-09,31394,45053,5317
2013-10,31397,45072,5320
2013-11,31449,45091,5330
2013-12,31456,45135,5338
2014-01,31468,45157,5343
2014-02,31492,45171,5345
2014-03,31496,45195,5385
2014-04,31501,45198,5388
2014-05,31515,45207,5390
2014-06,31698,45315,5410
2014-07,32114,45851,5468
2014-08,32138,45901,5488
2014-09,32377,46778,5516
2014-10,33370,48445,5734
2014-11,35731,49870,6033
2014-12,35948,49962,6033
2015-01,36085,50532,6121
2015-02,36160,51288,6218
2015-03,36178,51320,6224
2015-04,36197,51369,6231
2015-05,36261,51438,6245
2015-06,36286,51539,6271
2015-07,36306,52024,6419
2015-08,36318,52512,6530
2015-09,36359,52533,6530
2015-10,36369,52568,6571
2015-11,36377,52658,6579
2015-12,36402,52675,6586
2016-01,36417,52698,6601
2016-02,36453,52724,6611
2016-03,36581,52751,6614
2016-04,36865,54706,6675
2016-05,37123,54867,6721
2016-06,37153,54976,6732
2016-07,37226,55070,6767
2016-08,37240,55096,6777
2016-09,37244,55104,6782
2016-10,37246,55124,6783
2016-11,37256,55132,6790
2016-12,37259,55162,6791
2017-01,37296,55439,6793
2017-02,40840,55638,6842
2017-03,40869,55681,6844
2017-04,40878,55770,6856
2017-05,40968,57693,7010
2017-06,41029,59322,7063
2017-07,41034,59341,7064
2017-08,41036,59476,7068
2017-09,41038,59493,7069
2017-10,41086,59527,7081
2017-11,41287,59614,7090
2017-12,41370,59674,7101
2018-01,41451,59796,7119
2018-02,41463,59817,7124
2018-03,41503,59927,7159
2018-04,41743,60063,7200
2018-05,42601,60546,7272
2018-06,42610,60632,7284
2018-07,43291,60673,7286
2018-08,43412,60690,7286
2018-09,45107,61313,7354
