Year,"universityofcalifornia","illinois","psu","nd","emory","umich","columbia","missouri","utexas","uchicago","keio","knowledgeunlatched","yale","iu","msu","umd","udel","uiowa","cornell","umn","harvard","princeton","osu","purdue","nypl","virginia","northwestern","uq","technicalreports","milproj-dc-umich","ht_private","brooklynmuseum","usupress","washington","ucm","wisc","flbog","getty","unc","tufts","loc","ualberta","ncsu","umass","uconn","bc","duke","clarkart","wfu","mcgill","tamu","upenn","aub","mndigital"
"2008",0,0,0,0,0,2335409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,142487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009",1155368,0,5016,0,0,3662291,0,0,0,0,0,0,0,133482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5718,0,0,0,0,0,0,267353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010",2048247,14428,34400,0,0,4237077,59101,0,0,2444,0,0,140,179376,0,0,0,0,215610,76371,0,208506,0,0,258019,0,0,0,16978,0,0,0,0,0,78256,413987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011",3287656,14503,42917,0,0,4489045,65963,0,0,10608,0,0,23814,186937,0,0,0,0,383960,90239,53440,249679,0,887,259453,47396,5649,0,20250,0,0,0,92,0,108739,527334,0,0,8087,0,89411,0,3196,0,0,0,4522,0,0,0,0,0,0,42435
"2012",3383255,104887,44732,0,0,4590429,66177,0,0,26720,0,0,23818,195098,0,0,0,0,415435,104213,235985,251652,0,44629,259574,50799,12722,0,23349,22,5,0,163,0,112065,550395,2008,0,8088,0,89722,0,3196,0,0,1842,4523,0,0,0,0,0,0,42435
"2013",3449276,112976,68234,0,0,4645734,66823,0,0,38836,0,0,23818,195605,0,0,0,0,438070,117208,237435,251710,0,44697,288370,50821,37502,0,26158,22,5,4,189,0,112178,555924,9939,0,17025,0,89724,0,3196,0,0,2363,4525,0,0,0,1201,0,0,42435
"2014",3612596,319747,387717,0,52,4687862,75181,0,0,51976,90094,28,23972,528811,0,0,48,0,510065,144717,838110,252808,61129,47488,294835,51207,56677,0,33285,22,7,4,189,0,117400,560775,10042,18979,17025,0,108892,76106,3196,11614,4637,3263,8206,358,0,893,2446,0,0,42435
"2015",3720894,437722,390174,0,949,4712702,79169,12,0,99207,90126,28,24476,530650,0,279,68,47071,584906,442704,838526,252890,119187,47490,310762,51433,57157,0,35973,22,8,4,189,32,117678,561706,10044,26458,17437,1503,108892,76114,3196,15265,4637,4448,10685,358,0,934,2740,0,0,42435
"2016",3862268,538377,390355,39,1116,4731951,81940,581,460142,130362,92500,102,24595,530769,27852,286,78,62925,585308,511095,841969,253436,176127,47491,323527,52834,90922,81,45050,22,8,4,238,210,120873,561952,10044,36101,17437,1503,108892,76114,3196,15786,4637,5262,11304,358,1550,1277,3049,0,0,42435
"2017",4071094,620578,394638,39,1528,4793296,82056,639,462440,130451,92556,102,24631,534284,38970,894,78,62928,588553,571348,842794,255886,227833,47493,334278,586297,231504,111,47700,22,8,4,238,315,120879,562545,10894,41918,17437,1503,108892,76114,3196,15786,4637,5943,12801,358,1551,1402,4475,71,0,42435
"2018",4237628,730794,421734,39,1784,4812373,125945,1621,464805,130531,93287,102,24631,534487,38998,894,78,62939,589042,603493,842848,255912,264262,47493,339130,591036,233787,119,53587,22,8,4,238,441,121087,565092,12344,47352,29479,1503,108892,76114,3196,15786,4637,6230,13756,358,1551,1410,5974,180,410,42435
